,coef,se,pval,OR
Intercept,1.5516253766072283,1.8992053343486934,0.41393606544357975,4.719134322881057
C(entry_quarter_str)[T.2021Q2],-1.5065882596881939,1.335184203354974,0.25916164949307696,0.22166495259283459
C(entry_quarter_str)[T.2021Q3],3.133396677644831,2.8698792799427335,0.27491144788036836,22.95180718027224
C(entry_quarter_str)[T.2021Q4],0.8692488977777602,1.7854890740365505,0.6263711668650425,2.3851187126026745
C(entry_quarter_str)[T.2022Q1],-0.3061841467665046,2.9463495419020806,0.9172329693693106,0.7362510287259104
C(entry_quarter_str)[T.2022Q2],3.1722402062663266,1.9318472259609383,0.10057422892274548,23.860877815920986
C(entry_quarter_str)[T.2022Q3],2.4541809276019206,1.3757458480913585,0.07444134427011094,11.636898182234418
C(entry_quarter_str)[T.2022Q4],2.598419226422271,1.3278701622536022,0.050367187948781006,13.442471726696061
C(entry_quarter_str)[T.2023Q1],1.2479852943243683,1.0026141967782822,0.21323052855012148,3.4833180226597573
C(entry_quarter_str)[T.2023Q2],1.3298006748554474,1.0000020970506098,0.18358487259041645,3.780289805655401
C(entry_quarter_str)[T.2023Q3],0.6112259240346255,0.9926244778042255,0.5380479596351262,1.8426890114155325
C(entry_quarter_str)[T.2023Q4],0.3636023931407047,0.9711319064940477,0.7080986178368625,1.4385021421168824
fit_init,-0.9308746610279549,0.5434358999384029,0.08672304668432236,0.3942087604968016
activity_init,0.1792194417295384,0.10394569664901246,0.08467821741655888,1.1962832298276478
reviews_init,0.24112526135175072,0.043242078045670186,2.4586894875513424e-08,1.272680442996846
price_init,0.45977070902898903,0.25278442333891166,0.06893808455951457,1.5837108127699564
superhost_init,-0.7867866678989613,0.27570083752545144,0.004320385254976817,0.455305494931591
amenity_init,-0.007276952507727662,0.016504694473119964,0.6592839586379506,0.992749460403838
sentiment_init,7.341431876994794,10.551451083089642,0.4865699853816603,1542.9198040907343
